module,name,constructor,dimention,description
,ATS7m,"ATS(7, 'm')",2D,moreau-broto autocorrelation of lag 7 weighted by mass
,ATS8m,"ATS(8, 'm')",2D,moreau-broto autocorrelation of lag 8 weighted by mass
,ATS0v,"ATS(0, 'v')",2D,moreau-broto autocorrelation of lag 0 weighted by vdw volume
,ATS1v,"ATS(1, 'v')",2D,moreau-broto autocorrelation of lag 1 weighted by vdw volume
,ATS2v,"ATS(2, 'v')",2D,moreau-broto autocorrelation of lag 2 weighted by vdw volume
,ATS3v,"ATS(3, 'v')",2D,moreau-broto autocorrelation of lag 3 weighted by vdw volume
,ATS4v,"ATS(4, 'v')",2D,moreau-broto autocorrelation of lag 4 weighted by vdw volume
,ATS5v,"ATS(5, 'v')",2D,moreau-broto autocorrelation of lag 5 weighted by vdw volume
,ATS6v,"ATS(6, 'v')",2D,moreau-broto autocorrelation of lag 6 weighted by vdw volume
,ATS7v,"ATS(7, 'v')",2D,moreau-broto autocorrelation of lag 7 weighted by vdw volume
,ATS8v,"ATS(8, 'v')",2D,moreau-broto autocorrelation of lag 8 weighted by vdw volume
,ATS0se,"ATS(0, 'se')",2D,moreau-broto autocorrelation of lag 0 weighted by sanderson EN
,ATS1se,"ATS(1, 'se')",2D,moreau-broto autocorrelation of lag 1 weighted by sanderson EN
,ATS2se,"ATS(2, 'se')",2D,moreau-broto autocorrelation of lag 2 weighted by sanderson EN
,ATS3se,"ATS(3, 'se')",2D,moreau-broto autocorrelation of lag 3 weighted by sanderson EN
,ATS4se,"ATS(4, 'se')",2D,moreau-broto autocorrelation of lag 4 weighted by sanderson EN
,ATS5se,"ATS(5, 'se')",2D,moreau-broto autocorrelation of lag 5 weighted by sanderson EN
,ATS6se,"ATS(6, 'se')",2D,moreau-broto autocorrelation of lag 6 weighted by sanderson EN
,ATS7se,"ATS(7, 'se')",2D,moreau-broto autocorrelation of lag 7 weighted by sanderson EN
,ATS8se,"ATS(8, 'se')",2D,moreau-broto autocorrelation of lag 8 weighted by sanderson EN
,ATS0pe,"ATS(0, 'pe')",2D,moreau-broto autocorrelation of lag 0 weighted by pauling EN
,ATS1pe,"ATS(1, 'pe')",2D,moreau-broto autocorrelation of lag 1 weighted by pauling EN
,ATS2pe,"ATS(2, 'pe')",2D,moreau-broto autocorrelation of lag 2 weighted by pauling EN
,ATS3pe,"ATS(3, 'pe')",2D,moreau-broto autocorrelation of lag 3 weighted by pauling EN
,ATS4pe,"ATS(4, 'pe')",2D,moreau-broto autocorrelation of lag 4 weighted by pauling EN
,ATS5pe,"ATS(5, 'pe')",2D,moreau-broto autocorrelation of lag 5 weighted by pauling EN
,ATS6pe,"ATS(6, 'pe')",2D,moreau-broto autocorrelation of lag 6 weighted by pauling EN
,ATS7pe,"ATS(7, 'pe')",2D,moreau-broto autocorrelation of lag 7 weighted by pauling EN
,ATS8pe,"ATS(8, 'pe')",2D,moreau-broto autocorrelation of lag 8 weighted by pauling EN
,ATS0are,"ATS(0, 'are')",2D,moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
,ATS1are,"ATS(1, 'are')",2D,moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
,ATS2are,"ATS(2, 'are')",2D,moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
,ATS3are,"ATS(3, 'are')",2D,moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
,ATS4are,"ATS(4, 'are')",2D,moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
,ATS5are,"ATS(5, 'are')",2D,moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
,ATS6are,"ATS(6, 'are')",2D,moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
,ATS7are,"ATS(7, 'are')",2D,moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
,ATS8are,"ATS(8, 'are')",2D,moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
,ATS0p,"ATS(0, 'p')",2D,moreau-broto autocorrelation of lag 0 weighted by polarizability
,ATS1p,"ATS(1, 'p')",2D,moreau-broto autocorrelation of lag 1 weighted by polarizability
,ATS2p,"ATS(2, 'p')",2D,moreau-broto autocorrelation of lag 2 weighted by polarizability
,ATS3p,"ATS(3, 'p')",2D,moreau-broto autocorrelation of lag 3 weighted by polarizability
,ATS4p,"ATS(4, 'p')",2D,moreau-broto autocorrelation of lag 4 weighted by polarizability
,ATS5p,"ATS(5, 'p')",2D,moreau-broto autocorrelation of lag 5 weighted by polarizability
,ATS6p,"ATS(6, 'p')",2D,moreau-broto autocorrelation of lag 6 weighted by polarizability
,ATS7p,"ATS(7, 'p')",2D,moreau-broto autocorrelation of lag 7 weighted by polarizability
,ATS8p,"ATS(8, 'p')",2D,moreau-broto autocorrelation of lag 8 weighted by polarizability
,ATS0i,"ATS(0, 'i')",2D,moreau-broto autocorrelation of lag 0 weighted by ionization potential
,ATS1i,"ATS(1, 'i')",2D,moreau-broto autocorrelation of lag 1 weighted by ionization potential
,ATS2i,"ATS(2, 'i')",2D,moreau-broto autocorrelation of lag 2 weighted by ionization potential
,ATS3i,"ATS(3, 'i')",2D,moreau-broto autocorrelation of lag 3 weighted by ionization potential
,ATS4i,"ATS(4, 'i')",2D,moreau-broto autocorrelation of lag 4 weighted by ionization potential
,ATS5i,"ATS(5, 'i')",2D,moreau-broto autocorrelation of lag 5 weighted by ionization potential
,ATS6i,"ATS(6, 'i')",2D,moreau-broto autocorrelation of lag 6 weighted by ionization potential
,ATS7i,"ATS(7, 'i')",2D,moreau-broto autocorrelation of lag 7 weighted by ionization potential
,ATS8i,"ATS(8, 'i')",2D,moreau-broto autocorrelation of lag 8 weighted by ionization potential
,AATS0dv,"AATS(0, 'dv')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by valence electrons
,AATS1dv,"AATS(1, 'dv')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by valence electrons
,AATS2dv,"AATS(2, 'dv')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by valence electrons
,AATS3dv,"AATS(3, 'dv')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by valence electrons
,AATS4dv,"AATS(4, 'dv')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by valence electrons
,AATS5dv,"AATS(5, 'dv')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by valence electrons
,AATS6dv,"AATS(6, 'dv')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by valence electrons
,AATS7dv,"AATS(7, 'dv')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by valence electrons
,AATS8dv,"AATS(8, 'dv')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by valence electrons
,AATS0d,"AATS(0, 'd')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by sigma electrons
,AATS1d,"AATS(1, 'd')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by sigma electrons
,AATS2d,"AATS(2, 'd')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by sigma electrons
,AATS3d,"AATS(3, 'd')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by sigma electrons
,AATS4d,"AATS(4, 'd')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by sigma electrons
,AATS5d,"AATS(5, 'd')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by sigma electrons
,AATS6d,"AATS(6, 'd')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by sigma electrons
,AATS7d,"AATS(7, 'd')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by sigma electrons
,AATS8d,"AATS(8, 'd')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by sigma electrons
,AATS0s,"AATS(0, 's')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by intrinsic state
,AATS1s,"AATS(1, 's')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by intrinsic state
,AATS2s,"AATS(2, 's')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by intrinsic state
,AATS3s,"AATS(3, 's')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by intrinsic state
,AATS4s,"AATS(4, 's')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by intrinsic state
,AATS5s,"AATS(5, 's')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by intrinsic state
,AATS6s,"AATS(6, 's')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by intrinsic state
,AATS7s,"AATS(7, 's')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by intrinsic state
,AATS8s,"AATS(8, 's')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by intrinsic state
,AATS0Z,"AATS(0, 'Z')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by atomic number
,AATS1Z,"AATS(1, 'Z')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by atomic number
,AATS2Z,"AATS(2, 'Z')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by atomic number
,AATS3Z,"AATS(3, 'Z')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by atomic number
,AATS4Z,"AATS(4, 'Z')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by atomic number
,AATS5Z,"AATS(5, 'Z')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by atomic number
,AATS6Z,"AATS(6, 'Z')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by atomic number
,AATS7Z,"AATS(7, 'Z')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by atomic number
,AATS8Z,"AATS(8, 'Z')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by atomic number
,AATS0m,"AATS(0, 'm')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by mass
,AATS1m,"AATS(1, 'm')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by mass
,AATS2m,"AATS(2, 'm')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by mass
,AATS3m,"AATS(3, 'm')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by mass
,AATS4m,"AATS(4, 'm')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by mass
,AATS5m,"AATS(5, 'm')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by mass
,AATS6m,"AATS(6, 'm')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by mass
,AATS7m,"AATS(7, 'm')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by mass
,AATS8m,"AATS(8, 'm')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by mass
,AATS0v,"AATS(0, 'v')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by vdw volume
,AATS1v,"AATS(1, 'v')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by vdw volume
,AATS2v,"AATS(2, 'v')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by vdw volume
,AATS3v,"AATS(3, 'v')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by vdw volume
,AATS4v,"AATS(4, 'v')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by vdw volume
,AATS5v,"AATS(5, 'v')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by vdw volume
,AATS6v,"AATS(6, 'v')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by vdw volume
,AATS7v,"AATS(7, 'v')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by vdw volume
,AATS8v,"AATS(8, 'v')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by vdw volume
,AATS0se,"AATS(0, 'se')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by sanderson EN
,AATS1se,"AATS(1, 'se')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by sanderson EN
,AATS2se,"AATS(2, 'se')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by sanderson EN
,AATS3se,"AATS(3, 'se')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by sanderson EN
,AATS4se,"AATS(4, 'se')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by sanderson EN
,AATS5se,"AATS(5, 'se')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by sanderson EN
,AATS6se,"AATS(6, 'se')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by sanderson EN
,AATS7se,"AATS(7, 'se')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by sanderson EN
,AATS8se,"AATS(8, 'se')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by sanderson EN
,AATS0pe,"AATS(0, 'pe')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by pauling EN
,AATS1pe,"AATS(1, 'pe')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by pauling EN
,AATS2pe,"AATS(2, 'pe')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by pauling EN
,AATS3pe,"AATS(3, 'pe')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by pauling EN
,AATS4pe,"AATS(4, 'pe')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by pauling EN
,AATS5pe,"AATS(5, 'pe')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by pauling EN
,AATS6pe,"AATS(6, 'pe')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by pauling EN
,AATS7pe,"AATS(7, 'pe')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by pauling EN
,AATS8pe,"AATS(8, 'pe')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by pauling EN
,AATS0are,"AATS(0, 'are')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
,AATS1are,"AATS(1, 'are')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
,AATS2are,"AATS(2, 'are')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
,AATS3are,"AATS(3, 'are')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
,AATS4are,"AATS(4, 'are')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
,AATS5are,"AATS(5, 'are')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
,AATS6are,"AATS(6, 'are')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
,AATS7are,"AATS(7, 'are')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
,AATS8are,"AATS(8, 'are')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
,AATS0p,"AATS(0, 'p')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by polarizability
,AATS1p,"AATS(1, 'p')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by polarizability
,AATS2p,"AATS(2, 'p')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by polarizability
,AATS3p,"AATS(3, 'p')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by polarizability
,AATS4p,"AATS(4, 'p')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by polarizability
,AATS5p,"AATS(5, 'p')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by polarizability
,AATS6p,"AATS(6, 'p')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by polarizability
,AATS7p,"AATS(7, 'p')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by polarizability
,AATS8p,"AATS(8, 'p')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by polarizability
,AATS0i,"AATS(0, 'i')",2D,averaged moreau-broto autocorrelation of lag 0 weighted by ionization potential
,AATS1i,"AATS(1, 'i')",2D,averaged moreau-broto autocorrelation of lag 1 weighted by ionization potential
,AATS2i,"AATS(2, 'i')",2D,averaged moreau-broto autocorrelation of lag 2 weighted by ionization potential
,AATS3i,"AATS(3, 'i')",2D,averaged moreau-broto autocorrelation of lag 3 weighted by ionization potential
,AATS4i,"AATS(4, 'i')",2D,averaged moreau-broto autocorrelation of lag 4 weighted by ionization potential
,AATS5i,"AATS(5, 'i')",2D,averaged moreau-broto autocorrelation of lag 5 weighted by ionization potential
,AATS6i,"AATS(6, 'i')",2D,averaged moreau-broto autocorrelation of lag 6 weighted by ionization potential
,AATS7i,"AATS(7, 'i')",2D,averaged moreau-broto autocorrelation of lag 7 weighted by ionization potential
,AATS8i,"AATS(8, 'i')",2D,averaged moreau-broto autocorrelation of lag 8 weighted by ionization potential
,ATSC0c,"ATSC(0, 'c')",2D,centered moreau-broto autocorrelation of lag 0 weighted by gasteiger charge
,ATSC1c,"ATSC(1, 'c')",2D,centered moreau-broto autocorrelation of lag 1 weighted by gasteiger charge
,ATSC2c,"ATSC(2, 'c')",2D,centered moreau-broto autocorrelation of lag 2 weighted by gasteiger charge
,ATSC3c,"ATSC(3, 'c')",2D,centered moreau-broto autocorrelation of lag 3 weighted by gasteiger charge
,ATSC4c,"ATSC(4, 'c')",2D,centered moreau-broto autocorrelation of lag 4 weighted by gasteiger charge
,ATSC5c,"ATSC(5, 'c')",2D,centered moreau-broto autocorrelation of lag 5 weighted by gasteiger charge
,ATSC6c,"ATSC(6, 'c')",2D,centered moreau-broto autocorrelation of lag 6 weighted by gasteiger charge
,ATSC7c,"ATSC(7, 'c')",2D,centered moreau-broto autocorrelation of lag 7 weighted by gasteiger charge
,ATSC8c,"ATSC(8, 'c')",2D,centered moreau-broto autocorrelation of lag 8 weighted by gasteiger charge
,ATSC0dv,"ATSC(0, 'dv')",2D,centered moreau-broto autocorrelation of lag 0 weighted by valence electrons
,ATSC1dv,"ATSC(1, 'dv')",2D,centered moreau-broto autocorrelation of lag 1 weighted by valence electrons
,ATSC2dv,"ATSC(2, 'dv')",2D,centered moreau-broto autocorrelation of lag 2 weighted by valence electrons
,ATSC3dv,"ATSC(3, 'dv')",2D,centered moreau-broto autocorrelation of lag 3 weighted by valence electrons
,ATSC4dv,"ATSC(4, 'dv')",2D,centered moreau-broto autocorrelation of lag 4 weighted by valence electrons
,ATSC5dv,"ATSC(5, 'dv')",2D,centered moreau-broto autocorrelation of lag 5 weighted by valence electrons
,ATSC6dv,"ATSC(6, 'dv')",2D,centered moreau-broto autocorrelation of lag 6 weighted by valence electrons
,ATSC7dv,"ATSC(7, 'dv')",2D,centered moreau-broto autocorrelation of lag 7 weighted by valence electrons
,ATSC8dv,"ATSC(8, 'dv')",2D,centered moreau-broto autocorrelation of lag 8 weighted by valence electrons
,ATSC0d,"ATSC(0, 'd')",2D,centered moreau-broto autocorrelation of lag 0 weighted by sigma electrons
,ATSC1d,"ATSC(1, 'd')",2D,centered moreau-broto autocorrelation of lag 1 weighted by sigma electrons
,ATSC2d,"ATSC(2, 'd')",2D,centered moreau-broto autocorrelation of lag 2 weighted by sigma electrons
,ATSC3d,"ATSC(3, 'd')",2D,centered moreau-broto autocorrelation of lag 3 weighted by sigma electrons
,ATSC4d,"ATSC(4, 'd')",2D,centered moreau-broto autocorrelation of lag 4 weighted by sigma electrons
,ATSC5d,"ATSC(5, 'd')",2D,centered moreau-broto autocorrelation of lag 5 weighted by sigma electrons
,ATSC6d,"ATSC(6, 'd')",2D,centered moreau-broto autocorrelation of lag 6 weighted by sigma electrons
,ATSC7d,"ATSC(7, 'd')",2D,centered moreau-broto autocorrelation of lag 7 weighted by sigma electrons
,ATSC8d,"ATSC(8, 'd')",2D,centered moreau-broto autocorrelation of lag 8 weighted by sigma electrons
,ATSC0s,"ATSC(0, 's')",2D,centered moreau-broto autocorrelation of lag 0 weighted by intrinsic state
,ATSC1s,"ATSC(1, 's')",2D,centered moreau-broto autocorrelation of lag 1 weighted by intrinsic state
,ATSC2s,"ATSC(2, 's')",2D,centered moreau-broto autocorrelation of lag 2 weighted by intrinsic state
,ATSC3s,"ATSC(3, 's')",2D,centered moreau-broto autocorrelation of lag 3 weighted by intrinsic state
,ATSC4s,"ATSC(4, 's')",2D,centered moreau-broto autocorrelation of lag 4 weighted by intrinsic state
,ATSC5s,"ATSC(5, 's')",2D,centered moreau-broto autocorrelation of lag 5 weighted by intrinsic state
,ATSC6s,"ATSC(6, 's')",2D,centered moreau-broto autocorrelation of lag 6 weighted by intrinsic state
,ATSC7s,"ATSC(7, 's')",2D,centered moreau-broto autocorrelation of lag 7 weighted by intrinsic state
,ATSC8s,"ATSC(8, 's')",2D,centered moreau-broto autocorrelation of lag 8 weighted by intrinsic state
,ATSC0Z,"ATSC(0, 'Z')",2D,centered moreau-broto autocorrelation of lag 0 weighted by atomic number
,ATSC1Z,"ATSC(1, 'Z')",2D,centered moreau-broto autocorrelation of lag 1 weighted by atomic number
,ATSC2Z,"ATSC(2, 'Z')",2D,centered moreau-broto autocorrelation of lag 2 weighted by atomic number
,ATSC3Z,"ATSC(3, 'Z')",2D,centered moreau-broto autocorrelation of lag 3 weighted by atomic number
,ATSC4Z,"ATSC(4, 'Z')",2D,centered moreau-broto autocorrelation of lag 4 weighted by atomic number
,ATSC5Z,"ATSC(5, 'Z')",2D,centered moreau-broto autocorrelation of lag 5 weighted by atomic number
,ATSC6Z,"ATSC(6, 'Z')",2D,centered moreau-broto autocorrelation of lag 6 weighted by atomic number
,ATSC7Z,"ATSC(7, 'Z')",2D,centered moreau-broto autocorrelation of lag 7 weighted by atomic number
,ATSC8Z,"ATSC(8, 'Z')",2D,centered moreau-broto autocorrelation of lag 8 weighted by atomic number
